2026-04-12 00:38:30.102 | INFO     | d4f3d5fb-2872-4d94-842e-405cbe3a458a | - | - | GET | - | -ms | -B | -B
2026-04-12 00:38:30.104 | INFO     | d9bc1ab5-ca26-4c41-8668-4f9b4b161e7e | - | - | GET | - | -ms | -B | -B
2026-04-12 00:38:30.104 | INFO     | 161330a7-3b96-4d3b-8114-a13d3eb6be67 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:38:30.108 | INFO     | 161330a7-3b96-4d3b-8114-a13d3eb6be67 | - | /api/v1/users/me/permissions | GET | 404 | 3.9ms | 0B | 0B
2026-04-12 00:38:30.108 | INFO     | 161330a7-3b96-4d3b-8114-a13d3eb6be67 | - | - | - | 404 | 3.9ms | -B | -B
2026-04-12 00:38:30.115 | INFO     | d4f3d5fb-2872-4d94-842e-405cbe3a458a | - | /api/v1/auth/profile | GET | 200 | 13.94ms | 0B | 0B
2026-04-12 00:38:30.117 | INFO     | d4f3d5fb-2872-4d94-842e-405cbe3a458a | - | - | - | 200 | 13.94ms | -B | -B
2026-04-12 00:38:30.124 | INFO     | d9bc1ab5-ca26-4c41-8668-4f9b4b161e7e | - | /api/v1/users/me/roles | GET | 422 | 20.95ms | 0B | 0B
2026-04-12 00:38:30.125 | INFO     | d9bc1ab5-ca26-4c41-8668-4f9b4b161e7e | - | - | - | 422 | 20.95ms | -B | -B
2026-04-12 00:38:30.222 | INFO     | 860aa1b0-8915-466e-9f11-cb837edbd722 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:38:30.235 | INFO     | 860aa1b0-8915-466e-9f11-cb837edbd722 | - | /api/v1/menus/my | GET | 422 | 12.35ms | 0B | 0B
2026-04-12 00:38:30.235 | INFO     | 860aa1b0-8915-466e-9f11-cb837edbd722 | - | - | - | 422 | 12.35ms | -B | -B
2026-04-12 00:40:52.666 | INFO     | db9f3483-d0c0-4031-a5da-317a280f6323 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:40:52.668 | INFO     | 8af0ed7c-1961-44a8-8aa4-06cb53e9315b | - | - | GET | - | -ms | -B | -B
2026-04-12 00:40:52.675 | INFO     | ae684bb0-c223-4ec3-8128-3b25fefdcca8 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:40:52.686 | INFO     | db9f3483-d0c0-4031-a5da-317a280f6323 | - | /api/v1/auth/profile | GET | 200 | 19.63ms | 0B | 0B
2026-04-12 00:40:52.687 | INFO     | db9f3483-d0c0-4031-a5da-317a280f6323 | - | - | - | 200 | 19.63ms | -B | -B
2026-04-12 00:40:52.818 | INFO     | ae684bb0-c223-4ec3-8128-3b25fefdcca8 | - | /api/v1/users/me/roles | GET | 422 | 143.01ms | 0B | 0B
2026-04-12 00:40:52.819 | INFO     | ae684bb0-c223-4ec3-8128-3b25fefdcca8 | - | - | - | 422 | 143.01ms | -B | -B
2026-04-12 00:40:52.919 | INFO     | 8af0ed7c-1961-44a8-8aa4-06cb53e9315b | - | /api/v1/users/me/permissions | GET | 200 | 251.67ms | 0B | 0B
2026-04-12 00:40:52.920 | INFO     | 8af0ed7c-1961-44a8-8aa4-06cb53e9315b | - | - | - | 200 | 251.67ms | -B | -B
2026-04-12 00:40:53.020 | INFO     | e9256f17-1f5f-444d-a086-5bb73edda767 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:40:53.039 | INFO     | e9256f17-1f5f-444d-a086-5bb73edda767 | - | /api/v1/menus/my | GET | 422 | 18.92ms | 0B | 0B
2026-04-12 00:40:53.040 | INFO     | e9256f17-1f5f-444d-a086-5bb73edda767 | - | - | - | 422 | 18.92ms | -B | -B
2026-04-12 00:41:05.827 | INFO     | 57976d78-ffbc-4437-a066-50d190856295 | - | - | POST | - | -ms | -B | -B
2026-04-12 00:41:05.830 | INFO     | 57976d78-ffbc-4437-a066-50d190856295 | - | /api/v1/auth/logout | POST | 200 | 3.13ms | 0B | 0B
2026-04-12 00:41:05.831 | INFO     | 57976d78-ffbc-4437-a066-50d190856295 | - | - | - | 200 | 3.13ms | -B | -B
2026-04-12 00:41:16.226 | INFO     | ea832a5c-d69b-4f3b-b5f3-a9a31a68dbb5 | - | - | POST | - | -ms | -B | -B
2026-04-12 00:41:16.698 | INFO     | - | - | - | - | - | -ms | -B | -B
2026-04-12 00:41:16.701 | INFO     | ea832a5c-d69b-4f3b-b5f3-a9a31a68dbb5 | - | /api/v1/auth/login | POST | 200 | 474.75ms | 0B | 0B
2026-04-12 00:41:16.702 | INFO     | ea832a5c-d69b-4f3b-b5f3-a9a31a68dbb5 | - | - | - | 200 | 474.75ms | -B | -B
2026-04-12 00:41:16.718 | INFO     | 1cc0ba2d-31c1-4eea-85ee-ced50c1310d1 | - | - | GET | - | -ms | -B | -B
2026-04-12 00:41:16.721 | INFO     | 59648725-5326-4746-b086-b35abe2494eb | - | - | GET | - | -ms | -B | -B
2026-04-12 00:41:16.736 | INFO     | 1cc0ba2d-31c1-4eea-85ee-ced50c1310d1 | - | /api/v1/auth/profile | GET | 200 | 18.24ms | 0B | 0B
2026-04-12 00:41:16.737 | INFO     | 1cc0ba2d-31c1-4eea-85ee-ced50c1310d1 | - | - | - | 200 | 18.24ms | -B | -B
